,Sentence,Class
0,i just dont feel like this sort of thing should be happening less than a year from when i bought it,0
1,after dealing with several fundamental issues with this machine for almost years i just left the following feedback for lenovo on their community site,0
2,does not have place for cddisc but i have my regular computer for anything else,0
3,we are regular users,0
4,after a few hours of being plugged in while turned off when i returned home to set everything up the computer refused to turn back on,0
5,the batteries last and last,0
6,after i finished getting windows back running properly i wiped the osx ssd i have backups on a network drive and re installed snow leopard,0
7,screen graphicsas the title with retina display would suggest the screen graphics are quite noteworthy,1
8,you may get the same specs from hp or alienware for double the price,0
9,on the left side there is a hdmi ethernet vga and usb connectors even though they arent blue,0
10,two i think hdmi ports regular and i think a mini not micro by the power plug but if you get chromecast for you never need to deal with any hdmi cords at all,0
11,bite the bullet and get a quality computer that you know is going to last,0
12,i decided to go this route because i have heard that you have less of a chance of getting a lemon from a manufacturer refurb because of all the testing that is done on it before it can be shipped,0
13,their product is just not durable as others under regular use their parts cant even sustain one year warranty time i bought the product in last november less than one year the frame surrounded the screen was separated from the machine and ripped off,0
14,every manufactured computer i have ever had dell gateway intel and now asus has blue screened several times while the computer i built myself has never crashed,0
15,i got mine refurbished through a groupon deal for which is well under the standard retail price but even if it were id say its well worth the price,0
16,had the computer less than a month and had to send it into asus for repair,0
17,size and weight my last laptop was an acer chromebook,0
18,last me about hours with streaming music and writing papers,0
19,outside of having to get used to using google drive instead of microsoft office i havent had any complaints about this notebook,0
20,we sent it to asus and they refused to fix it as they claimed lcd damage is outside the warranty,0
21,it would be a great laptop if it wasnt for the fact that it literally does not have the ability to display the color yellow comes through as more of a dark mustard and the fact that the hinge is a ticking time bomb,1
22,bought this last year and the updates takes up all the internal memory,0
23,my last model had all the ports to hook up four external monitors,0
24,computer was missing programs so it was not as advertised,0
25,i would love if device manufacturers would just be honest about their battery life estimates hopefully someone finds this information helpful,1
26,love the tablet itself and i dont mind the battery life although it would be nice if it lasted a bit longer have had to contact the seller however due to the keyboard not working properly,1
27,less than hours a week,0
28,ive been getting regular hr usage times between charges and it can get back to fully charged over the usb c ports in about hrs,0
29,heat on the bottom of the unit is considerably less noticeable when running on battery alone,0
30,for it just isnt worth the pros vs cons im going back to what ive used for years the intuos tablet by wacom,0
31,so i contacted dell technical support and was informed that the warranty on the product was already expired even though i purchased less than a month ago from amazon,0
32,this is the last time i ever buy an acer product,0
33,my two friends and i bought the same laptop last year,0
34,it will boot from usb or microsd but if you want memory or regular functionality youre sol,0
35,then last month the second battery died along with the charger so it was time to upgrade and after looking at all the options i choose the dell gaming laptop,0
36,whether we eventually expand storage via the sd card slot or use and external hdd is a question for later this year,0
37,computer isnt working after less than a month,0
38,but i figured maybe that was just a one off problem and then i bought this like years later and damn if the same thing doesnt happen,0
39,the mouse pad doesnt even feel as solid as the last generation model either,0
40,i dont think the problem is the computer but the connection since we had this with out last laptop too,0
41,the power cords were missing,0
42,display stopped working after less than six weeks,0
43,then they tell me i need an rma to send the product back which they cant do because conveniently the rma system is down and i should call back in wait for it days,0
44,i dont know why just less than month the system appear error have to restart error file is igdkmd,0
45,it would be nice if sammy or google would add a contrast slider as that would bring out the image,1
46,if i had to nitpick anything it would be nice if the trackpad was glass,1
47,well after a few seconds not minutes seconds the cpu just couldnt keep up and allowed the process to fall through dropping back down to cpu usage and then back to the idle amount at about,0
48,i believe a laptop should last longer that year and months,0
49,update june although i continue to have problems at the bookstore public wifi i plugged in a tp link usb wireless n adapter loaded the driver and viola,0
50,i purchased this as a gift for my year old daughters birthday she left to go on a trip and when she came home two weeks later and unboxed it she could not get it to stay turned on,0
51,diagnostic says missing a driver,0
52,this is the second computer i received from amazon with the same problem,0
53,the frame cracked after less than years of use,0
54,im a power user and have hand built all my previous desktop computers going back to,0
55,the camera and phone dont have drivers andthe bluetooth module is missing from the computer,0
56,this might be the last of the mac book pros that you can hook up to usbs,0
57,touchpad is standard in the standard spot off center so your wrists dont catch it while you type,0
58,however this laptop provides native support for windows meaning asus offers drivers to install windows properly,0
59,i wanted this chromebook as a second machine for starting and ending my day browsing and doing the cloud based work i have to do like accounting in wave managing social network based marketing ordering books searching for cover art reading manuscripts in submittable handling email etc,0
60,batteries last about hours if im just writing papers and listening to music,0
61,had a few issues at the start but customer service was on point with actual fluent english i may add,0
62,this works like a regular computer although theres no dvd drive but whens the last time i popped one in,0
63,i presume the missing gb comprise recovery partition files,0
64,i went into google play store last week to test a beta program that allows me to use android apps,0
65,my last windows product ever,0
66,i have had it now for two days and last night i used to play music to sleep to for nine hours on just the battery and when i woke up it was still going,0
67,keyboard the keyboard is about the same size as the standard mac keyboard,0
68,last week a defect started to appear on the upper left portion of the screen that has now progressed to a third of the screen blocked out and unusable,0
69,this is my th owned laptop the rest have been through work and i went back to dell for the extra because i have never had any issue with them and they do stand by their products,0
70,at first i thought it would be really nice to have snapseed but polarr has exceeded snapseed in functionality and it runs on chromeos,1
71,this laptop weighs next to nothing and the screen is about the thickness of a few pieces of cardstock,0
72,just a regular computer which will get your regular day to day work done,0
73,it would be nice to simply connect to any printer via the cloud rather than have to go through my mac,1
74,after less than one month usage the product had a hardware issue,0
75,im a college student and was looking for something for internet usage word docts social media etc,0
76,overall if this product actually worked correctly it might be worth getting,0
77,this is my last hp product i will spend my money on,0
78,no more hard disks no more top heavy rigs and hopefully no more random hardware issues,1
79,next time i will go with a proper pc manufacturer,0
80,or select the file and carefully drag the file from the source into the target folder,0
81,the power of a inch macbook pro for less,0
82,the wifi connection on it would be okay for a while but if i move to a different wifi server i would have to turn it off and turn it back on to connect,1
83,the package includes instructions with diagrams and hp offers support if you need extra help,0
84,i purchased this computer years ago with the expectation that this will be the last tablet i will need for to years minimum,0
85,having a touchscreen on a gaming laptop made even less sense to me in practice as using it even a few times immediately created smudges and fingerprints that i spent time wiping off and decided not to use again,0
86,the ibook needed to be pulled apart almost to the last screw to replace the hd while the macbook hd sits under a hatch below the battery compartment user swappable in five minutes,0
87,i will update this review in a few months to report back on how this baby is running but i expect no problems,0
88,i verified the description with same model on microsoft store and its indeed standard,0
89,less than one year and the battery is not charging,0
90,the touch screen regularly glitches leaving points where the screen acts as if i am interacting and will not let me touch anywhere else,0
91,note that some functions e g webex last i checked still dont support chrome os,0
92,dell is using usb c ports which will be the future standard,0
93,i did not and a few hours later the problem i had been having seems to have self resolved,0
94,for not even close to i from lenovo with less ram and less speed,0
95,but it started coming apart in less than a month,0
96,last week aug th computer would not turn on despite being charged for days,0
97,at this budget price you can expect the laptop to last about year,0
98,yet i run windows professional on a lenovo w purchased less than a year ago approx,0
99,i sent it to asus after dealing with all the problems and now even though i have had this computer less than a year they are refusing to honor the year warranty stating the part is not covered,0
100,it would be really nice if someone could provide a couple of links to a few different ram chips ssd drives for the empty bay and hdd drives if you choose to go that way with extra storage,1
101,it is the last model still in stores that is you can upgrade and repair,0
