,Attribute,ChildDeps,ChildPOS,ChildWords,Class,ParentDeps,ParentPOS,ParentWords,Sentence
0,year,"[u'det', u'acl']","[u'DT', u'VBD']","[u'a', u'bought']",0,[u'dobj'],[u'VBG'],[u'happening'],i just dont feel like this sort of thing should be happening less than a year from when i bought it
1,years,"[u'case', u'advmod', u'acl:relcl']","[u'IN', u'RB', u'VBD']","[u'for', u'almost', u'left']",0,[u'nmod'],[u'NN'],[u'machine'],after dealing with several fundamental issues with this machine for almost years i just left the following feedback for lenovo on their community site
2,computer,"[u'nmod:poss', u'amod', u'nmod']","[u'PRP$', u'JJ', u'NN']","[u'my', u'regular', u'anything']",0,[u'dobj'],[u'VBP'],[u'have'],does not have place for cddisc but i have my regular computer for anything else
3,users,"[u'nsubj', u'cop', u'amod']","[u'PRP', u'VBP', u'JJ']","[u'we', u'are', u'regular']",0,[],[],[],we are regular users
4,computer,[u'det'],[u'DT'],[u'the'],0,[u'nmod:npmod'],[u'RB'],[u'up'],after a few hours of being plugged in while turned off when i returned home to set everything up the computer refused to turn back on
5,batteries,"[u'det', u'dep']","[u'DT', u'JJ']","[u'the', u'last']",0,[],[],[],the batteries last and last
6,drive,"[u'case', u'det', u'compound', u'cc', u'conj', u'acl']","[u'IN', u'DT', u'NN', u'CC', u'NN', u'VBN']","[u'on', u'a', u'network', u'and', u'snow', u'leopard']",0,"[u'nmod', u'amod']","[u'NNS', u'NN']","[u'backups', u'snow']",after i finished getting windows back running properly i wiped the osx ssd i have backups on a network drive and re installed snow leopard
7,screen,"[u'case', u'compound']","[u'IN', u'NN']","[u'with', u'retina']",1,"[u'compound', u'nmod', u'compound']","[u'NNS', u'NN', u'NNS']","[u'graphicsas', u'title', u'graphics']",screen graphicsas the title with retina display would suggest the screen graphics are quite noteworthy
8,price,"[u'case', u'advmod', u'det']","[u'IN', u'RB', u'DT']","[u'for', u'double', u'the']",0,[u'nmod'],[u'VB'],[u'get'],you may get the same specs from hp or alienware for double the price
9,usb,[],[],[],0,[u'compound'],[u'NNS'],[u'connectors'],on the left side there is a hdmi ethernet vga and usb connectors even though they arent blue
10,power,[],[],[],0,[u'compound'],[u'NN'],[u'plug'],two i think hdmi ports regular and i think a mini not micro by the power plug but if you get chromecast for you never need to deal with any hdmi cords at all
11,computer,"[u'det', u'compound']","[u'DT', u'NN']","[u'a', u'quality']",0,[u'dobj'],[u'VB'],[u'get'],bite the bullet and get a quality computer that you know is going to last
12,manufacturer,[],[],[],0,[u'compound'],[u'NN'],[u'refurb'],i decided to go this route because i have heard that you have less of a chance of getting a lemon from a manufacturer refurb because of all the testing that is done on it before it can be shipped
13,screen,"[u'nmod:poss', u'nmod:poss', u'det', u'nmod', u'nmod', u'nummod', u'dep', u'det']","[u'PRP$', u'PRP$', u'DT', u'NNP', u'NN', u'CD', u'NN', u'DT']","[u'their', u'their', u'the', u'november', u'year', u'one', u'frame', u'the']",0,"[u'nsubj', u'dep', u'compound', u'compound', u'dobj', u'nmod', u'nsubjpass']","[u'JJ', u'VBP', u'NN', u'NN', u'VBD', u'NN', u'VBN']","[u'durable', u'use', u'time', u'time', u'bought', u'product', u'separated']",their product is just not durable as others under regular use their parts cant even sustain one year warranty time i bought the product in last november less than one year the frame surrounded the screen was separated from the machine and ripped off
14,computer,"[u'det', u'amod', u'acl:relcl']","[u'DT', u'VBN', u'VBN']","[u'every', u'manufactured', u'had']",0,"[u'nsubj', u'compound']","[u'VBZ', u'NN']","[u'has', u'i']",every manufactured computer i have ever had dell gateway intel and now asus has blue screened several times while the computer i built myself has never crashed
15,price,"[u'mark', u'nsubj', u'cop', u'advmod', u'case', u'det', u'amod', u'amod', u'case', u'det']","[u'IN', u'WDT', u'VBZ', u'RB', u'IN', u'DT', u'JJ', u'JJ', u'IN', u'DT']","[u'for', u'which', u'is', u'well', u'under', u'the', u'standard', u'retail', u'worth', u'the']",0,"[u'acl', u'nmod']","[u'NN', u'VBP']","[u'deal', u'say']",i got mine refurbished through a groupon deal for which is well under the standard retail price but even if it were id say its well worth the price
16,computer,[u'det'],[u'DT'],[u'the'],0,[u'nmod:npmod'],[u'RBR'],[u'less'],had the computer less than a month and had to send it into asus for repair
17,size,"[u'cc', u'conj', u'dep']","[u'CC', u'NN', u'NN']","[u'and', u'weight', u'laptop']",0,"[u'nsubj', u'conj']","[u'NN', u'NN']","[u'chromebook', u'size']",size and weight my last laptop was an acer chromebook
18,,[],[],[],0,[],[],[],last me about hours with streaming music and writing papers
19,drive,"[u'amod', u'nmod']","[u'JJ', u'NN']","[u'google', u'havent']",0,[u'dobj'],[u'VBG'],[u'using'],outside of having to get used to using google drive instead of microsoft office i havent had any complaints about this notebook
20,warranty,"[u'nsubj', u'cop', u'case', u'det']","[u'NN', u'VBZ', u'IN', u'DT']","[u'damage', u'is', u'outside', u'the']",0,[u'ccomp'],[u'VBD'],[u'claimed'],we sent it to asus and they refused to fix it as they claimed lcd damage is outside the warranty
21,color,"[u'mark', u'ccomp']","[u'TO', u'VBZ']","[u'to', u'comes']",1,"[u'acl', u'compound']","[u'NN', u'NN']","[u'ability', u'yellow']",it would be a great laptop if it wasnt for the fact that it literally does not have the ability to display the color yellow comes through as more of a dark mustard and the fact that the hinge is a ticking time bomb
22,memory,"[u'det', u'amod', u'cc', u'conj', u'det', u'amod']","[u'DT', u'JJ', u'CC', u'NNS', u'DT', u'JJ']","[u'this', u'last', u'and', u'updates', u'the', u'internal']",0,"[u'nsubj', u'nsubj']","[u'VBZ', u'VBD']","[u'takes', u'bought']",bought this last year and the updates takes up all the internal memory
23,model,"[u'nmod:poss', u'amod']","[u'PRP$', u'JJ']","[u'my', u'last']",0,[u'nsubj'],[u'VBD'],[u'had'],my last model had all the ports to hook up four external monitors
24,computer,[],[],[],0,[u'nsubj'],[u'NNS'],[u'programs'],computer was missing programs so it was not as advertised
25,life,[u'compound'],[u'NN'],[u'device'],1,"[u'nsubj', u'compound', u'compound']","[u'JJ', u'NNS', u'NNS']","[u'honest', u'estimates', u'estimates']",i would love if device manufacturers would just be honest about their battery life estimates hopefully someone finds this information helpful
26,battery,"[u'dep', u'det', u'compound']","[u'NN', u'DT', u'NN']","[u'mind', u'the', u'battery']",1,"[u'conj', u'compound']","[u'PRP', u'NN']","[u'itself', u'life']",love the tablet itself and i dont mind the battery life although it would be nice if it lasted a bit longer have had to contact the seller however due to the keyboard not working properly
27,,[],[],[],0,[],[],[],less than hours a week
28,usb,"[u'case', u'det']","[u'IN', u'DT']","[u'over', u'the']",0,"[u'compound', u'nmod']","[u'NNS', u'VBN']","[u'times', u'charged']",ive been getting regular hr usage times between charges and it can get back to fully charged over the usb c ports in about hrs
29,battery,[u'case'],[u'IN'],[u'on'],0,[u'nmod'],[u'VBG'],[u'running'],heat on the bottom of the unit is considerably less noticeable when running on battery alone
30,years,[u'case'],[u'IN'],[u'for'],0,[u'nmod'],[u'VBN'],[u'used'],for it just isnt worth the pros vs cons im going back to what ive used for years the intuos tablet by wacom
31,product,"[u'det', u'nmod', u'case', u'det']","[u'DT', u'NN', u'IN', u'DT']","[u'the', u'product', u'on', u'the']",0,"[u'nsubjpass', u'nmod']","[u'VBN', u'NN']","[u'expired', u'warranty']",so i contacted dell technical support and was informed that the warranty on the product was already expired even though i purchased less than a month ago from amazon
32,product,"[u'det', u'compound']","[u'DT', u'NN']","[u'an', u'acer']",0,[u'dobj'],[u'VB'],[u'buy'],this is the last time i ever buy an acer product
33,year,[u'amod'],[u'JJ'],[u'last'],0,[u'nmod:tmod'],[u'VBD'],[u'bought'],my two friends and i bought the same laptop last year
34,memory,"[u'case', u'cc', u'conj', u'cc', u'conj']","[u'IN', u'CC', u'NN', u'CC', u'NN']","[u'from', u'or', u'microsd', u'or', u'sol']",0,"[u'nmod', u'dobj']","[u'VB', u'VBP']","[u'boot', u'want']",it will boot from usb or microsd but if you want memory or regular functionality youre sol
35,battery,"[u'det', u'amod']","[u'DT', u'JJ']","[u'the', u'second']",0,[u'nsubj'],[u'VBD'],[u'died'],then last month the second battery died along with the charger so it was time to upgrade and after looking at all the options i choose the dell gaming laptop
36,year,"[u'case', u'det', u'compound', u'compound', u'case', u'advmod', u'det']","[u'IN', u'DT', u'NN', u'NN', u'IN', u'RB', u'DT']","[u'via', u'the', u'sd', u'card', u'for', u'later', u'this']",0,"[u'nmod', u'compound', u'nmod']","[u'NN', u'NN', u'NN']","[u'storage', u'slot', u'question']",whether we eventually expand storage via the sd card slot or use and external hdd is a question for later this year
37,computer,[],[],[],0,[u'compound'],[u'NN'],[u'isnt'],computer isnt working after less than a month
38,years,"[u'det', u'amod']","[u'DT', u'JJ']","[u'this', u'like']",0,[u'nmod:tmod'],[u'VBD'],[u'bought'],but i figured maybe that was just a one off problem and then i bought this like years later and damn if the same thing doesnt happen
39,model,"[u'case', u'det', u'amod', u'compound']","[u'IN', u'DT', u'JJ', u'NN']","[u'as', u'the', u'last', u'generation']",0,[u'nmod'],[u'JJ'],[u'solid'],the mouse pad doesnt even feel as solid as the last generation model either
40,computer,"[u'nsubj', u'cop', u'det', u'nmod', u'advcl']","[u'NN', u'VBZ', u'DT', u'NN', u'VBD']","[u'problem', u'is', u'the', u'connection', u'had']",0,[u'ccomp'],[u'VBP'],[u'think'],i dont think the problem is the computer but the connection since we had this with out last laptop too
41,power,[],[],[],0,[u'compound'],[u'NNS'],[u'cords'],the power cords were missing
42,display,[u'dep'],[u'VBN'],[u'stopped'],0,[],[],[],display stopped working after less than six weeks
43,system,[u'det'],[u'DT'],[u'the'],0,"[u'dobj', u'nsubj']","[u'VB', u'RP']","[u'send', u'down']",then they tell me i need an rma to send the product back which they cant do because conveniently the rma system is down and i should call back in wait for it days
44,system,[u'det'],[u'DT'],[u'the'],0,[u'nsubj'],[u'VBP'],[u'appear'],i dont know why just less than month the system appear error have to restart error file is igdkmd
45,,[],[],[],1,[],[],[],it would be nice if sammy or google would add a contrast slider as that would bring out the image
46,,[],[],[],1,[],[],[],if i had to nitpick anything it would be nice if the trackpad was glass
47,cpu,"[u'det', u'case', u'compound']","[u'DT', u'TO', u'NN']","[u'the', u'to', u'cpu']",0,"[u'nsubj', u'nmod', u'compound']","[u'VBP', u'RB', u'NN']","[u'couldnt', u'down', u'usage']",well after a few seconds not minutes seconds the cpu just couldnt keep up and allowed the process to fall through dropping back down to cpu usage and then back to the idle amount at about
48,year,"[u'det', u'cc', u'conj']","[u'DT', u'CC', u'NNS']","[u'that', u'and', u'months']",0,[u'dobj'],[u'VB'],[u'last'],i believe a laptop should last longer that year and months
49,usb,"[u'case', u'det', u'compound', u'compound']","[u'IN', u'DT', u'NN', u'NN']","[u'in', u'a', u'tp', u'link']",0,[u'nmod'],[u'VBD'],[u'plugged'],update june although i continue to have problems at the bookstore public wifi i plugged in a tp link usb wireless n adapter loaded the driver and viola
50,year,[],[],[],0,[u'nmod:npmod'],[u'JJ'],[u'old'],i purchased this as a gift for my year old daughters birthday she left to go on a trip and when she came home two weeks later and unboxed it she could not get it to stay turned on
51,,[],[],[],0,[],[],[],diagnostic says missing a driver
52,computer,"[u'nsubj', u'cop', u'det', u'amod', u'acl:relcl']","[u'DT', u'VBZ', u'DT', u'JJ', u'VBD']","[u'this', u'is', u'the', u'second', u'received']",0,[],[],[],this is the second computer i received from amazon with the same problem
53,years,"[u'case', u'advmod', u'nmod']","[u'IN', u'JJR', u'NN']","[u'after', u'less', u'use']",0,[u'nmod'],[u'VBN'],[u'cracked'],the frame cracked after less than years of use
54,computers,"[u'det', u'compound', u'det:predet', u'nmod:poss', u'amod', u'compound']","[u'DT', u'NN', u'PDT', u'PRP$', u'JJ', u'NN']","[u'a', u'power', u'all', u'my', u'previous', u'desktop']",0,"[u'dobj', u'compound', u'dobj']","[u'VB', u'NN', u'VBN']","[u'im', u'user', u'built']",im a power user and have hand built all my previous desktop computers going back to
55,computer,"[u'case', u'det']","[u'IN', u'DT']","[u'from', u'the']",0,[u'nmod'],[u'VBG'],[u'missing'],the camera and phone dont have drivers andthe bluetooth module is missing from the computer
56,usbs,[u'case'],[u'TO'],[u'to'],0,[u'nmod'],[u'VB'],[u'hook'],this might be the last of the mac book pros that you can hook up to usbs
57,type,"[u'mark', u'dep']","[u'IN', u'PRP']","[u'while', u'you']",0,[u'advcl'],[u'VB'],[u'catch'],touchpad is standard in the standard spot off center so your wrists dont catch it while you type
58,native,[],[],[],0,[u'amod'],[u'NN'],[u'support'],however this laptop provides native support for windows meaning asus offers drivers to install windows properly
59,,[],[],[],0,[],[],[],i wanted this chromebook as a second machine for starting and ending my day browsing and doing the cloud based work i have to do like accounting in wave managing social network based marketing ordering books searching for cover art reading manuscripts in submittable handling email etc
60,batteries,[],[],[],0,[u'nsubj'],[u'VBP'],[u'last'],batteries last about hours if im just writing papers and listening to music
