Cluster,Probability,Label,Sentence
39,0.995312656,0,i just dont feel like this sort of thing should be happening less than a year from when i bought it
17,0.994169209,0,after dealing with several fundamental issues with this machine for almost years i just left the following feedback for lenovo on their community site
33,0.974043133,0,does not have place for cddisc but i have my regular computer for anything else
0,0.241292029,0,we are regular users
32,0.999815085,0,after a few hours of being plugged in while turned off when i returned home to set everything up the computer refused to turn back on
15,0.586792739,0,the batteries last and last
9,0.99992861,0,after i finished getting windows back running properly i wiped the osx ssd i have backups on a network drive and re installed snow leopard
10,1,1,screen graphicsas the title with retina display would suggest the screen graphics are quite noteworthy
15,0.669926131,0,you may get the same specs from hp or alienware for double the price
14,0.999999935,0,on the left side there is a hdmi ethernet vga and usb connectors even though they arent blue
14,1,0,two i think hdmi ports regular and i think a mini not micro by the power plug but if you get chromecast for you never need to deal with any hdmi cords at all
15,0.943600595,0,bite the bullet and get a quality computer that you know is going to last
17,0.999763027,0,i decided to go this route because i have heard that you have less of a chance of getting a lemon from a manufacturer refurb because of all the testing that is done on it before it can be shipped
25,0.997769741,0,their product is just not durable as others under regular use their parts cant even sustain one year warranty time i bought the product in last november less than one year the frame surrounded the screen was separated from the machine and ripped off
15,0.999806891,0,every manufactured computer i have ever had dell gateway intel and now asus has blue screened several times while the computer i built myself has never crashed
4,0.999997188,0,i got mine refurbished through a groupon deal for which is well under the standard retail price but even if it were id say its well worth the price
17,0.544251206,0,had the computer less than a month and had to send it into asus for repair
0,0.971817388,0,size and weight my last laptop was an acer chromebook
23,0.711086816,0,last me about hours with streaming music and writing papers
0,0.999459242,0,outside of having to get used to using google drive instead of microsoft office i havent had any complaints about this notebook
25,0.999996904,0,we sent it to asus and they refused to fix it as they claimed lcd damage is outside the warranty
30,0.999999998,1,it would be a great laptop if it wasnt for the fact that it literally does not have the ability to display the color yellow comes through as more of a dark mustard and the fact that the hinge is a ticking time bomb
15,0.931883076,0,bought this last year and the updates takes up all the internal memory
23,0.993907957,0,my last model had all the ports to hook up four external monitors
